id_cliente,id_transaccion,fecha,tipo_producto,monto,moneda,tasa_interes,plazo_dias,canal,estado,sucursal,nombre,tipo_documento,numero_documento,ciudad,segmento,fecha_alta,activo,contacto_email,contacto_telefono,productos_str
1002,500082,2024-08-28,Cuenta Ahorros,14308904.25,COP,,,App,Pendiente,Bucaramanga,Daniela Suarez,CC,670318744,Bogota,Personal,2021-02-02,true,,3286791978,Cuenta Ahorros | CDT
1015,500073,2024-11-09,CDT,14233.99,USD,13.140000,365,Web,Aprobada,Cali,Daniela Suarez,CC,81551884,Bogota,Personal,2019-07-23,false,,,Cuenta Ahorros
1013,500331,2024-07-05,Credito,67675881.00,COP,8.600000,180,App,Pendiente,Bogota,Camila Ortiz,CC,107445646,Pereira,Premium,2019-10-04,false,,"",CDT | Cuenta Corriente | Credito
1045,500239,2024-07-03,Credito,22513.97,USD,9.270000,90,Oficina,Rechazada,Bogota,Tecnosoluciones Sas,NIT,895649166-7,Cali,Empresarial,2019-01-23,false,tecnosoluciones.sas@hotmail.com,"",Credito | Cuenta Ahorros
1023,500277,2024-04-14,Cuenta Ahorros,12351845.90,COP,,,Cajero,Aprobada,Cali,Gabriela Nino,NIT,200660305,Cucuta,Personal,2023-11-11,false,gabriela.nino@outlook.com,6035151432,CDT | Credito | Cuenta Corriente
1019,500008,2024-10-25,Credito,24703.21,USD,8.900000,180,Oficina,Aprobada,Medellin,Jorge Mendoza,NIT,572265678,Bogota,Personal,2021-03-12,false,jorge.mendoza@outlook.com,3155751377,Cuenta Corriente | Cuenta Ahorros
1017,500172,2024-09-06,Credito,40057209.90,COP,12.020000,365,Cajero,Pendiente,Cartagena,Carlos Gomez,NIT,372704373,Bogota,,2021-09-24,false,carlos.gomez@empresa.com.co,3168641959,""
1011,500190,2024-07-17,Credito,32536584.00,COP,10.970000,180,Oficina,Pendiente,Barranquilla,Santiago Vargas,NIT,339147326,Cali,Premium,2022-11-27,false,,6025607689,Cuenta Corriente
1009,500097,2024-01-10,CDT,57507492.00,COP,10.000000,180,App,Pendiente,Bogota,Gabriela Nino,,,Barranquilla,Personal,2021-08-18,false,gabriela.nino@outlook.com,"",Cuenta Ahorros | CDT | Cuenta Corriente
1015,500368,2024-07-28,Credito,86379257.00,COP,9.500000,90,Oficina,Pendiente,Bogota,Daniela Suarez,CC,81551884,Bogota,Personal,2019-07-23,false,,,Cuenta Ahorros
1015,500392,2024-11-14,Credito,18577287.00,COP,8.200000,365,Cajero,Rechazada,Bogota,Daniela Suarez,CC,81551884,Bogota,Personal,2019-07-23,false,,,Cuenta Ahorros
1018,500358,2024-03-27,CDT,14817229.00,COP,10.100000,180,Cajero,Pendiente,Barranquilla,Valentina Ruiz,CC,889034069,Barranquilla,Premium,2019-06-16,true,valentina.ruiz@outlook.com,3148717954,Cuenta Corriente | CDT | Cuenta Ahorros
1003,500102,2024-06-18,CDT,58964224.00,COP,11.800000,90,App,Pendiente,Barranquilla,Ana Maria Rojas,CC,533496827,Barranquilla,Personal,2020-07-01,true,ana.maria.rojas@empresa.com.co,3290597940,Cuenta Ahorros | Cuenta Corriente
1011,500212,2024-03-18,CDT,2284877.50,COP,9.400000,365,Web,Aprobada,Barranquilla,Santiago Vargas,NIT,339147326,Cali,Premium,2022-11-27,false,,6025607689,Cuenta Corriente
1012,500157,2024-05-24,CDT,74769684.00,COP,11.630000,365,Cajero,Pendiente,Bucaramanga,Sofia Ramirez,NIT,835079380,Cucuta,Premium,2022-09-05,true,sofia.ramirez@empresa.com.co,3244932334,Cuenta Corriente | CDT
1050,500182,2024-08-21,Cuenta Ahorros,6709024.00,COP,,,Cajero,Pendiente,Medellin,Inversiones El Roble Sas,NIT,843374700-0,Bogota,,2023-06-08,false,inversiones.el.roble.sas@hotmail.com,6087257455,""
7777,500398,2024-05-05,CDT,6302.81,USD,9.900000,365,Cajero,Pendiente,Bogota,No identificado,,,,,,,,,""
1024,500113,2024-02-04,Credito,113232210.50,COP,8.900000,90,Cajero,Pendiente,Medellin,Isabella Diaz,,,Medellin,Personal,2021-12-23,false,isabella.diaz@outlook.com,3275015557,Cuenta Ahorros | Cuenta Corriente | CDT
1016,500405,2024-07-03,Credito,44853668.00,COP,13.900000,360,Oficina,Aprobada,Bogota,Nicolas Romero,CC,907703101,Bogota,Premium,2021-07-22,false,,,Credito | Cuenta Ahorros | CDT
1008,500235,2024-03-23,Credito,24316548.00,COP,13.300000,90,Cajero,Aprobada,Cali,Lucia Fernandez,CC,450758146,Bogota,Premium,2022-08-07,true,,3269076238,Credito | Cuenta Ahorros
1045,500326,2024-08-14,Credito,16191823.00,COP,10.600000,365,App,Pendiente,Barranquilla,Tecnosoluciones Sas,NIT,895649166-7,Cali,Empresarial,2019-01-23,false,tecnosoluciones.sas@hotmail.com,"",Credito | Cuenta Ahorros
1050,500396,2024-08-22,CDT,76033808.00,COP,8.300000,365,Cajero,Pendiente,Cartagena,Inversiones El Roble Sas,NIT,843374700-0,Bogota,,2023-06-08,false,inversiones.el.roble.sas@hotmail.com,6087257455,""
1003,500233,2024-06-19,CDT,9307015.90,COP,10.700000,360,Cajero,Aprobada,Bucaramanga,Ana Maria Rojas,CC,533496827,Barranquilla,Personal,2020-07-01,true,ana.maria.rojas@empresa.com.co,3290597940,Cuenta Ahorros | Cuenta Corriente
1043,500115,2024-05-28,CDT,75892796.00,COP,9.800000,90,Oficina,Pendiente,Bogota,Logistica Express Sa,NIT,864182544-0,Medellin,Empresarial,2019-12-28,true,logistica.express.sa@empresa.com.co,3128424100,Cuenta Ahorros | Credito | Cuenta Corriente
1009,500107,2025-10-05,CDT,57230282.00,COP,10.000000,180,Web,Pendiente,Bogota,Gabriela Nino,,,Barranquilla,Personal,2021-08-18,false,gabriela.nino@outlook.com,"",Cuenta Ahorros | CDT | Cuenta Corriente
1019,500321,2024-08-20,CDT,20235.16,USD,8.400000,90,Web,Pendiente,Bogota,Jorge Mendoza,NIT,572265678,Bogota,Personal,2021-03-12,false,jorge.mendoza@outlook.com,3155751377,Cuenta Corriente | Cuenta Ahorros
1031,500357,2024-10-25,Credito,23191663.50,COP,12.600000,365,Web,Pendiente,Barranquilla,Laura Gonzalez,CC,678341010,Cali,Personal,2019-06-16,false,,3139507237,CDT
1034,500419,2024-01-23,CDT,21091805.00,COP,8.500000,365,Cajero,Aprobada,Barranquilla,María José Álvarez,CC,446377174,Barranquilla,,2023-05-10,true,maria.jose.alvarez@gmail.com,3185319380,Cuenta Corriente
1044,500210,2024-08-02,CDT,66630171.90,COP,13.300000,365,Cajero,Pendiente,Medellin,Alimentos La Cosecha,NIT,806768972-4,Cali,Empresarial,2019-11-26,true,,,Cuenta Corriente | CDT | Credito
1045,500030,2024-12-23,CDT,62221217.00,COP,13.600000,90,Cajero,Pendiente,Bogota,Tecnosoluciones Sas,NIT,895649166-7,Cali,Empresarial,2019-01-23,false,tecnosoluciones.sas@hotmail.com,"",Credito | Cuenta Ahorros
1013,500310,2025-09-17,CDT,48504595.00,COP,8.620000,180,Cajero,Rechazada,Bogota,Camila Ortiz,CC,107445646,Pereira,Premium,2019-10-04,false,,"",CDT | Cuenta Corriente | Credito
1025,500324,2024-10-04,CDT,78281592.00,COP,11.300000,180,App,Pendiente,Bogota,Felipe Cardenas,NIT,620931459,Bogota,Premium,2022-04-02,false,,,Cuenta Ahorros
1009,500236,2024-12-09,Credito,18107976.00,NULL,11.500000,365,App,Aprobada,Barranquilla,Gabriela Nino,,,Barranquilla,Personal,2021-08-18,false,gabriela.nino@outlook.com,"",Cuenta Ahorros | CDT | Cuenta Corriente
1034,500147,2024-10-12,Credito,83639134.90,COP,8.400000,180,App,Aprobada,Cali,María José Álvarez,CC,446377174,Barranquilla,,2023-05-10,true,maria.jose.alvarez@gmail.com,3185319380,Cuenta Corriente
1010,500225,2024-04-11,Credito,41579389.00,COP,10.600000,180,Oficina,Pendiente,Medellin,Gabriela Nino,CC,370668724,Medellin,Personal,2023-12-02,true,,3289895588,Cuenta Ahorros | Cuenta Corriente | CDT
1039,500390,2024-10-07,Credito,95359746.00,COP,11.500000,365,Web,Aprobada,Bogota,Carlos Gomez,,,Bogota,Personal,2021-02-01,false,,,Cuenta Corriente
1046,500127,2024-11-27,Cuenta Ahorros,7993963.00,COP,,,Oficina,Pendiente,Barranquilla,Agroexportadora Valle,NIT,895639767-7,Cartagena,PYME,2020-01-12,true,,3100851835,CDT | Credito | Cuenta Corriente
1050,500370,2024-11-18,CDT,6149329.50,COP,9.500000,365,Oficina,Aprobada,Medellin,Inversiones El Roble Sas,NIT,843374700-0,Bogota,,2023-06-08,false,inversiones.el.roble.sas@hotmail.com,6087257455,""
1012,500091,2023-02-05,Cuenta Ahorros,21231.60,USD,,,App,Pendiente,Barranquilla,Sofia Ramirez,NIT,835079380,Cucuta,Premium,2022-09-05,true,sofia.ramirez@empresa.com.co,3244932334,Cuenta Corriente | CDT
